DATD4VW7XF9JZFGA,4 stars,Anup Bhatkhande,29-Mar-12,[EDITED]VERY BAD AFTER SALES.. I have NOT received REPLACEMENT from Micromax,"Micromax is providing replacement guarantee. But I have gone thru terrible experience, where after 2 month folloup (26 phone calls)",0.91,122,RV97PQR4RU9J0CR27
DATD4VW7XF9JZFGA,5 stars,Samyak Sahoo,26-Dec-11,ALL-IN-ONE (A1) DEVICE,Used it with AIRCEL 3G.Download speed is around 400kbps.,0.82,39,RVZKBVVR90IFTFSDH
DATD4VW7XF9JZFGA,4 stars,JUGANTA MIKIR,22-Jan-12,SIMPLY FANTASTIC!!!,"Just got the device in two days! hats off to FLIPKART for that. and here i am- writing a review. Installation was a breeze after I recieved the product in a packing that was very nicely done. The Micromax MMX 353G will impress you with its cool color, the LED light blinking also has a funtion.Four cool colors that indicates whether the service is GPRS,EDGE,3G or HSPA. The SIM and microSD card slots are okay. I have tried RELIANCE and AIRCEL 3G sims and there is no problem switching over. Moreover the micromax MMX 353G supports voice and sms which is very necessary. I can add that the voice quality will impress you. A must buy @2200...ofcourse you get a cashback of 200 bucks which you can spend on data charges. the free leather pouch is cool1! thanx a lot FLIPKART..You have me for a long haul !!!!",0.75,24,RVMEVJARWHX6P2LTT
DATD4VW7XF9JZFGA,5 stars,Sagar Lonkar,31-Dec-11,"Gr8 Product , Gr8 Flipkart Service","Gr8 Product, I used Tata Docomo GPRS, Its works easily with auto-install software for 1st time and ready to use.",0.76,21,RV6XJT00U5PTF2DG1
DATD4VW7XF9JZFGA,1 star,Jayanth Royal,04-Apr-12,LIKE CHINA PHONE(NO WARRENTY),"device is good,but if u got problem with device they cont resolve.",8,8,RV7GY49VU237G9STP
DATD4VW7XF9JZFGA,1 star,Bidyut Gogoi,03-Aug-12,Very Disappointing.,My one month experience of using this data card has been very disappointing. I brought this data card after being influenced by the over hyped user ratings and reviews on this site.,5,6,RVUPFF6DJFEDSWUB0
DATD4VW7XF9JZFGA,1 star,arghya haldar,12-Mar-13,very bad product and worst customer service centre,i wanted to buy huwai 303c but bought this product after going through some nice review .but this card has some serious flaw.it used to disconnect after every 15-20 min(checked with other data card and phone no disconnection).,5,5,RVFYJZUVDVBQ1K3U7
DATD4VW7XF9JZFGA,4 stars,Sidhartha Sharma,08-Jan-13,"Fast Delivery, Bad Packaging, Good Product but Sim Slot is Worst","The product is good no doubt. But Problems comes in changing sim card. To pull out the slot made of very thin plastic makes the slot very much breakable by using simple force. The plastic used in sim slot is too much weak, If micromax is listning to me kindly change the sim slot. I have not seen such sim slot in my life. Even placement of micro sd card is bad. I think the overall product is good but designing is really crappy, which makes this product easily breakable. Sim Card slot and micro sd card placements should have been designed carefully as sim cards are changed by users often. But if you dont have to change the sim card and want to use single sim then this is a very good product. Speed tested in mumbai aircel 2g - Average 25kbps (Not KB its kb) highest speed in night 45kbps . Maximum speed was around 210kbps for few seconds in night at 12pm. I am scaling at 4/5. 1 point deducted due to faulty design of product (sim slot). Micromax should see that even it is providing product at competitive prices in market but customer in india still want 3 things in every product they purchase - Sasta, Sundar, Tikaauu... means cost effective, beautiful and long run. Kindly give weightage to design and longitivity of use of products may it be Cell Phones or Data Card. I hope micromax is listning, before throwing product in market check it thru experts. Above all, anyone can buy this product without any difficulty.",2,2,RVEDEHZ229XV74IJC
DATD4VW7XF9JZFGA,5 stars,NEHRU PRASAD D...,15-Sep-13,good product in this range,"After having a lots of comparison, decided to buy this product based on reviews and really this is a great product and up to my expectation. Placed order on 18-Aug, and got it home in right time. I started with TATA Docomo , very easy to use not need for setting directly you can choose 2g or 3g and connected very fast. The unique feature is that you can check your balance directly like mobile which is not given in other data card.",1,1,RVLLJE29F5UKTE6PA
DATD4VW7XF9JZFGA,4 stars,Arun kumar,30-Jun-12,xcellent in its class,"hi to all, b4 buying dis product i had many thoughts like is it worthy or would it really work, but after purchasing dis product ive become a fan of micromax, its the best in its class, ive used almost all 2g and 3g sims wid dis product and every single time i am like satisfied wid d performance, i m getting speed upto 5.2 Mbps and even able to make video calls, one or two things that could be improved is its like its sim slot must be some more robust and second thing that could be improved is like it should have some data record facility where we could check the total data consumed day wise, month wise and year wise. but in all its a worthy product which i wd suggest to all prospective buyers,.",3,4,RVUIYO9XPEVF5CLGI
